hindi_phrase,english_translation,sanskrit_translation,tamil_translation,odia_translation,category
वे मिट्टी के घरों की दीवारों पर चित्र बनाते हैं,They paint pictures on the walls of mud houses,पङ्कगृहाणां भित्तिषु चित्राणि रचयन्ति,மண் வீடுகளின் சுவர்களில் படங்களை வரைகிறார்கள்,ସେମାନେ କାଦୁଅ ଘରର କାନ୍ଥରେ ଚିତ୍ର ଆଙ୍କନ୍ତି |,Stories
सफेद रंग से त्रिभुज और वृत्त बनते हैं,Triangles and circles are made with white color,श्वेतवर्णेन त्रिकोणमण्डलानि च भवन्ति,முக்கோணங்கள் மற்றும் வட்டங்கள் வெள்ளை நிறத்தில் செய்யப்படுகின்றன,ତ୍ରିରଙ୍ଗା ଏବଂ ବୃତ୍ତଗୁଡ଼ିକ ଧଳା ରଙ୍ଗରେ ତିଆରି |,Stories
हर चित्र एक कहानी कहता है,Every painting tells a story,प्रत्येकं चित्रं कथां कथयति,ஒவ்வொரு ஓவியமும் ஒரு கதை சொல்கிறது,ପ୍ରତ୍ୟେକ ଚିତ୍ର ଏକ କାହାଣୀ କହିଥାଏ |,Stories
एक युवा लड़की ने अपनी दादी से पूछा,A young girl asked her grandmother,एकः बालिका स्वपितामहीम् अपृच्छत्,ஒரு இளம் பெண் தன் பாட்டியிடம் கேட்டாள்,ଜଣେ ଯୁବତୀ ତାଙ୍କ ଜେଜେମା’ଙ୍କୁ ପଚାରିଥିଲେ,Stories
ये चित्र क्या कहते हैं,What do these paintings say,एते चित्राणि किं वदन्ति,இந்த ஓவியங்கள் என்ன சொல்கின்றன,ଏହି ଚିତ୍ରଗୁଡ଼ିକ କ’ଣ କୁହନ୍ତି |,Stories
दादी ने कहा ये हमारे पूर्वजों की आवाज़ हैं,Grandmother said these are the voices of our ancestors,पितामही अवदत् एतानि अस्माकं पूर्वजानां स्वराः,இவை நம் முன்னோர்களின் குரல்கள் என்றார் பாட்டி,ଜେଜେମା କହିଛନ୍ତି ଏମାନେ ଆମର ପୂର୍ବଜଙ୍କ ସ୍ୱର,Stories
ये फसल और बारिश की कहानियाँ हैं,These are stories of harvest and rain,एतानि फलानां वर्षाणां च कथाः सन्ति,இவை அறுவடை மற்றும் மழை பற்றிய கதைகள்,ଏଗୁଡ଼ିକ ଅମଳ ଏବଂ ବର୍ଷାର କାହାଣୀ |,Stories
ये तारपा नृत्य की खुशी दिखाते हैं,They show the joy of the Tarpa dance,तर्पनृत्यस्य आनन्दं दर्शयन्ति,அவர்கள் தர்ப்பை நடனத்தின் மகிழ்ச்சியைக் காட்டுகிறார்கள்,ସେମାନେ ତରପା ନୃତ୍ୟର ଆନନ୍ଦ ପ୍ରଦର୍ଶନ କରନ୍ତି |,Stories
लड़की ने चित्र बनाना सीखा,The girl learned to paint,बालिका चित्रकला शिक्षते स्म,பெண் ஓவியம் வரைவதற்கு கற்றுக்கொண்டாள்,Girl ିଅଟି ରଙ୍ଗ କରିବା ଶିଖିଲା |,Stories
उसने अपने चित्रों में नई कहानियाँ जोड़ीं,She added new stories to her paintings,सा स्वचित्रेषु नूतनाः कथाः योजितवती,அவர் தனது ஓவியங்களில் புதிய கதைகளைச் சேர்த்தார்,ସେ ତାଙ୍କ ଚିତ୍ରରେ ନୂତନ କାହାଣୀ ଯୋଡିଥିଲେ |,Stories
परंपरा एक पीढ़ी से दूसरी पीढ़ी तक चली,The tradition passed from one generation to the next,परम्परा एकस्मात् पीढीतः परं पीढीं यावत् गता,பாரம்பரியம் ஒரு தலைமுறையிலிருந்து அடுத்த தலைமுறைக்கு சென்றது,ପରମ୍ପରା ଗୋଟିଏ ପି generation ଼ିରୁ ଅନ୍ୟ ପି to ିକୁ ଚାଲିଗଲା |,Stories
कला कभी नहीं मरती,Art never dies,कला कदापि न म्रियते,கலை என்றும் அழியாது,କଳା କଦାପି ମରନ୍ତି ନାହିଁ |,Stories
एक गाँव के पास एक सुंदर नदी बहती थी,A beautiful river flowed near a village,एकस्य ग्रामस्य समीपे एकः सुन्दरः नदी प्रवहति स्म,ஒரு கிராமத்தின் அருகே ஒரு அழகான ஆறு ஓடிக்கொண்டிருந்தது,ଏକ ଗାଁ ନିକଟରେ ଏକ ସୁନ୍ଦର ନଦୀ ପ୍ରବାହିତ ହେଲା |,Stories
गाँव के लोग नदी से पानी लेते थे,The village people took water from the river,ग्रामजनाः नदीतः जलं गृहीतवन्तः,கிராம மக்கள் ஆற்றில் தண்ணீர் எடுத்தனர்,ଗାଁର ଲୋକମାନେ ନଦୀରୁ ପାଣି ନେଇଥିଲେ,Stories
किसान अपने खेतों को सींचते थे,The farmers watered their fields,कृषकाः स्वक्षेत्राणि सिञ्चन्ति,விவசாயிகள் தங்கள் வயல்களுக்கு தண்ணீர் விடுகிறார்கள்,କୃଷକମାନେ ସେମାନଙ୍କର କ୍ଷେତକୁ ଜଳ ଦିଅନ୍ତି |,Stories
बच्चे नदी के किनारे खेलते थे,The children played by the riverbank,बालाः नदीतीरे क्रीडन्ति स्म,குழந்தைகள் ஆற்றங்கரையில் விளையாடினர்,ପିଲାମାନେ ନଦୀ କୂଳରେ ଖେଳୁଥିଲେ |,Stories
एक साल बारिश नहीं हुई,One year it did not rain,एकवर्षे वर्षा न अभवत्,ஒரு வருடம் மழை பெய்யவில்லை,ଗୋଟିଏ ବର୍ଷ ବର୍ଷା ହୋଇନଥିଲା,Stories
नदी सूखने लगी,The river began to dry,नदी शुष्कतां प्रारभत,ஆறு வறண்டு போக ஆரம்பித்தது,ନଦୀ ଶୁଖିବାକୁ ଲାଗିଲା,Stories
गाँव के बुज़ुर्ग ने सबको बुलाया,The village elder called everyone,ग्रामवृद्धः सर्वान् आहूतवान्,ஊர் பெரியவர் அனைவரையும் அழைத்தார்,ଗାଁ ପ୍ରାଚୀନ ସମସ୍ତଙ୍କୁ ଡାକିଲେ,Stories
उन्होंने कहा हमें मिलकर काम करना होगा,He said we must work together,सः अवदत् यत् अस्माभिः मिलित्वा कार्यं कर्तव्यम्,நாம் இணைந்து செயல்பட வேண்டும் என்றார்,ଆମେ ଏକାଠି କାମ କରିବା ଜରୁରୀ ବୋଲି ସେ କହିଛନ୍ତି,Stories
सबने मिलकर तालाब खोदा,Everyone dug a pond together,सर्वे मिलित्वा तडागं खनितवन्तः,எல்லோரும் சேர்ந்து குளம் தோண்டினார்கள்,ସମସ୍ତେ ଏକାଠି ଏକ ପୋଖରୀ ଖୋଳିଲେ |,Stories
सबने पेड़ लगाए,Everyone planted trees,सर्वे वृक्षाः रोपितवन्तः,அனைவரும் மரங்களை நட்டனர்,ସମସ୍ତେ ଗଛ ଲଗାଇଲେ,Stories
अगले साल खूब बारिश हुई,The next year it rained a lot,परवर्षे बहु वर्षा अभवत्,அடுத்த வருடம் நிறைய மழை பெய்தது,ପରବର୍ତ୍ତୀ ବର୍ଷ ବହୁତ ବର୍ଷା ହୋଇଥିଲା |,Stories
नदी फिर से बहने लगी,The river began to flow again,नदी पुनः प्रवाहितुं आरब्धा,நதி மீண்டும் ஓட ஆரம்பித்தது,ନଦୀ ପୁଣି ପ୍ରବାହିତ ହେବାକୁ ଲାଗିଲା,Stories
तीन दोस्तों ने एक रोबोट बनाया,Three friends built a robot,त्रयः मित्राणि रोबोट् निर्मितवन्तः,மூன்று நண்பர்கள் ஒரு ரோபோவை உருவாக்கினர்,ତିନିଜଣ ବନ୍ଧୁ ଏକ ରୋବଟ୍ ନିର୍ମାଣ କରିଥିଲେ |,Stories
रोबोट का आकार एक पीतल की लालटेन जैसा था,The robot was shaped like a brass lantern,रोबोट् पीतले दीपस्य आकारः आसीत्,ரோபோ பித்தளை விளக்கு போல வடிவமைக்கப்பட்டது,ରୋବଟଟି ଏକ ପିତ୍ତଳ ଲଣ୍ଠନ ପରି ଆକୃତିର ଥିଲା |,Stories
उसका काम था भाषाओं को बचाना,Its job was to save languages,अस्य कार्यं भाषाणां रक्षणम् आसीत्,மொழிகளைக் காப்பதே அதன் பணியாக இருந்தது,ଭାଷା ସଞ୍ଚୟ କରିବା ଏହାର କାମ ଥିଲା,Stories
रोबोट गाँव गाँव घूमता था,The robot traveled from village to village,रोबोट् ग्रामात् ग्रामे गच्छति स्म,ரோபோ கிராமம் கிராமமாக பயணித்தது,ରୋବଟ୍ ଗାଁରୁ ଗାଁକୁ ଯାତ୍ରା କଲା |,Stories
वह बुज़ुर्गों के पास जाकर रुकता था,It would stop near the elders,वृद्धानां समीपे एव स्थगितम् आसीत्,பெரியவர்கள் அருகில் நின்றுவிடும்,ଏହା ପ୍ରାଚୀନମାନଙ୍କ ନିକଟରେ ବନ୍ଦ ହୋଇଯିବ |,Stories
वह कहता था नमस्ते मैं सुन रहा हूँ,It would say hello I am listening,नमस्कारं शृणोमि इति वदिष्यति स्म,அது வணக்கம் நான் கேட்கிறேன் என்று சொல்லும்,ଏହା ମୁଁ କହିବି ନମସ୍କାର |,Stories
लोग उसे अपनी कहानियाँ सुनाते थे,People told it their stories,जनाः तत् स्वकथाः कथयन्ति स्म,மக்கள் தங்கள் கதைகளைச் சொன்னார்கள்,ଲୋକମାନେ ଏହାକୁ ସେମାନଙ୍କର କାହାଣୀ କହିଥିଲେ |,Stories
वह गीत और लोरियाँ रिकॉर्ड करता था,It recorded songs and lullabies,"अस्मिन् गीतानि, लोरीगीतानि च अभिलेखितानि आसन्",இது பாடல்களையும் தாலாட்டுகளையும் பதிவு செய்தது,ଏଥିରେ ଗୀତ ଏବଂ ଲୁଲାବି ରେକର୍ଡ କରାଯାଇଥିଲା |,Stories
जब कोई थक जाता तो वह कहता,When someone got tired it would say,यदा कश्चित् श्रान्तः भवति स्म तदा वदति स्म,யாராவது சோர்வாக இருக்கும்போது அது சொல்லும்,ଯେତେବେଳେ କେହି ଥକିଗଲେ ଏହା କହିବ |,Stories
धीरे धीरे उसने सैकड़ों आवाज़ें इकट्ठी कीं,Slowly it collected hundreds of voices,शनैः शनैः शतशः स्वराः सङ्गृहीताः,மெதுவாக அது நூற்றுக்கணக்கான குரல்களை சேகரித்தது,ଧୀରେ ଧୀରେ ଏହା ଶହ ଶହ ସ୍ୱର ସଂଗ୍ରହ କଲା |,Stories
हर आवाज़ एक खज़ाना थी,Every voice was a treasure,प्रत्येकं स्वरं निधिः आसीत्,ஒவ்வொரு குரலும் பொக்கிஷமாக இருந்தது,ପ୍ରତ୍ୟେକ ସ୍ୱର ଏକ ଭଣ୍ଡାର ଥିଲା |,Stories
बच्चों ने उन आवाज़ों से अपनी भाषा सीखी,The children learned their language from those voices,तेभ्यः स्वरेभ्यः बालकाः स्वभाषां शिक्षन्ति स्म,அந்தக் குரல்களில் இருந்து குழந்தைகள் தங்கள் மொழியைக் கற்றுக்கொண்டனர்,ପିଲାମାନେ ସେହି ସ୍ୱରରୁ ସେମାନଙ୍କର ଭାଷା ଶିଖିଲେ |,Stories
इस तरह भाषा सेतु ने अतीत और भविष्य को जोड़ा,In this way BhashaSetu connected the past and the future,एवं भाषासेतुः अतीतं भविष्यं च संयोजितवान्,இந்த வழியில் பாஷாசேது கடந்த காலத்தையும் எதிர்காலத்தையும் இணைத்தார்,ଏହିପରି ଭାବରେ ଭାସା ସେଟୁ ଅତୀତ ଏବଂ ଭବିଷ୍ୟତକୁ ସଂଯୋଗ କଲା |,Stories
